name,capacity,occupied,time
Shopping,1920,614,2016/10/4 7:59
Shopping,1920,761,2016/10/4 8:25
Shopping,1920,958,2016/10/4 8:59
Shopping,1920,1121,2016/10/4 9:32
Shopping,1920,1254,2016/10/4 9:59
Shopping,1920,1324,2016/10/4 10:26
Shopping,1920,1387,2016/10/4 10:59
Shopping,1920,1428,2016/10/4 11:25
Shopping,1920,1447,2016/10/4 11:59
Shopping,1920,1460,2016/10/4 12:29
Shopping,1920,1448,2016/10/4 13:02
Shopping,1920,1432,2016/10/4 13:29
Shopping,1920,1430,2016/10/4 14:02
Shopping,1920,1429,2016/10/4 14:29
Shopping,1920,1381,2016/10/4 14:57
Shopping,1920,1300,2016/10/4 15:30
Shopping,1920,1218,2016/10/4 16:04
Shopping,1920,1075,2016/10/4 16:31
Shopping,1920,602,2016/10/5 7:57
Shopping,1920,779,2016/10/5 8:30
Shopping,1920,975,2016/10/5 9:04
Shopping,1920,1138,2016/10/5 9:30
Shopping,1920,1306,2016/10/5 10:04
Shopping,1920,1379,2016/10/5 10:30
Shopping,1920,1410,2016/10/5 11:04
Shopping,1920,1430,2016/10/5 11:30
Shopping,1920,1446,2016/10/5 12:04
Shopping,1920,1437,2016/10/5 12:30
Shopping,1920,1418,2016/10/5 12:57
Shopping,1920,1427,2016/10/5 13:30
Shopping,1920,1422,2016/10/5 13:57
Shopping,1920,1409,2016/10/5 14:30
Shopping,1920,1378,2016/10/5 14:57
Shopping,1920,1303,2016/10/5 15:30
Shopping,1920,1203,2016/10/5 16:04
Shopping,1920,1049,2016/10/5 16:30
Shopping,1920,615,2016/10/6 7:57
Shopping,1920,772,2016/10/6 8:30
Shopping,1920,937,2016/10/6 8:57
Shopping,1920,1119,2016/10/6 9:30
Shopping,1920,1230,2016/10/6 10:03
Shopping,1920,1285,2016/10/6 10:30
Shopping,1920,1335,2016/10/6 10:57
Shopping,1920,1366,2016/10/6 11:30
Shopping,1920,1394,2016/10/6 12:04
Shopping,1920,1408,2016/10/6 12:30
Shopping,1920,1422,2016/10/6 12:57
Shopping,1920,1419,2016/10/6 13:30
Shopping,1920,1421,2016/10/6 13:57
Shopping,1920,1388,2016/10/6 14:30
Shopping,1920,1346,2016/10/6 15:04
Shopping,1920,1269,2016/10/6 15:31
Shopping,1920,1170,2016/10/6 16:04
Shopping,1920,1028,2016/10/6 16:30
Shopping,1920,587,2016/10/7 8:03
Shopping,1920,738,2016/10/7 8:30
Shopping,1920,900,2016/10/7 9:04
Shopping,1920,1013,2016/10/7 9:30
Shopping,1920,1125,2016/10/7 9:57
Shopping,1920,1186,2016/10/7 10:30
Shopping,1920,1229,2016/10/7 10:57
Shopping,1920,1250,2016/10/7 11:30
Shopping,1920,1256,2016/10/7 12:03
Shopping,1920,1262,2016/10/7 12:30
Shopping,1920,1267,2016/10/7 13:04
Shopping,1920,1256,2016/10/7 13:30
Shopping,1920,1245,2016/10/7 14:03
Shopping,1920,1205,2016/10/7 14:30
Shopping,1920,1180,2016/10/7 15:04
Shopping,1920,1130,2016/10/7 15:30
Shopping,1920,1051,2016/10/7 15:57
Shopping,1920,906,2016/10/7 16:30
Shopping,1920,304,2016/10/8 7:57
Shopping,1920,337,2016/10/8 8:30
Shopping,1920,397,2016/10/8 8:57
Shopping,1920,455,2016/10/8 9:30
Shopping,1920,532,2016/10/8 10:04
Shopping,1920,584,2016/10/8 10:30
Shopping,1920,626,2016/10/8 10:57
Shopping,1920,701,2016/10/8 11:30
Shopping,1920,763,2016/10/8 12:04
Shopping,1920,805,2016/10/8 12:30
Shopping,1920,855,2016/10/8 13:04
Shopping,1920,875,2016/10/8 13:30
Shopping,1920,917,2016/10/8 14:03
Shopping,1920,925,2016/10/8 14:30
Shopping,1920,954,2016/10/8 14:57
Shopping,1920,924,2016/10/8 15:30
Shopping,1920,865,2016/10/8 16:04
Shopping,1920,782,2016/10/8 16:30
Shopping,1920,285,2016/10/9 8:04
Shopping,1920,248,2016/10/9 8:30
Shopping,1920,259,2016/10/9 9:04
Shopping,1920,282,2016/10/9 9:30
Shopping,1920,297,2016/10/9 9:57
Shopping,1920,308,2016/10/9 10:30
Shopping,1920,332,2016/10/9 11:04
Shopping,1920,380,2016/10/9 11:30
Shopping,1920,417,2016/10/9 11:57
Shopping,1920,465,2016/10/9 12:30
Shopping,1920,480,2016/10/9 13:04
Shopping,1920,487,2016/10/9 13:30
Shopping,1920,487,2016/10/9 14:03
Shopping,1920,497,2016/10/9 14:30
Shopping,1920,478,2016/10/9 15:04
Shopping,1920,454,2016/10/9 15:30
Shopping,1920,421,2016/10/9 16:03
Shopping,1920,375,2016/10/9 16:30
Shopping,1920,540,2016/10/10 8:04
Shopping,1920,667,2016/10/10 8:30
Shopping,1920,876,2016/10/10 9:04
Shopping,1920,1049,2016/10/10 9:30
Shopping,1920,1200,2016/10/10 10:03
Shopping,1920,1238,2016/10/10 10:30
Shopping,1920,1281,2016/10/10 10:57
Shopping,1920,1300,2016/10/10 11:30
Shopping,1920,1324,2016/10/10 11:57
Shopping,1920,1331,2016/10/10 12:30
Shopping,1920,1335,2016/10/10 13:04
Shopping,1920,1327,2016/10/10 13:30
Shopping,1920,1307,2016/10/10 14:03
Shopping,1920,1276,2016/10/10 14:30
Shopping,1920,1244,2016/10/10 14:57
Shopping,1920,1197,2016/10/10 15:30
Shopping,1920,1135,2016/10/10 15:57
Shopping,1920,1003,2016/10/10 16:30
Shopping,1920,564,2016/10/11 8:04
Shopping,1920,696,2016/10/11 8:30
Shopping,1920,852,2016/10/11 8:57
Shopping,1920,1082,2016/10/11 9:30
Shopping,1920,1210,2016/10/11 9:57
Shopping,1920,1310,2016/10/11 10:30
Shopping,1920,1343,2016/10/11 10:57
Shopping,1920,1369,2016/10/11 11:30
Shopping,1920,1396,2016/10/11 12:03
Shopping,1920,1431,2016/10/11 12:30
Shopping,1920,1425,2016/10/11 13:04
Shopping,1920,1406,2016/10/11 13:31
Shopping,1920,1394,2016/10/11 14:04
Shopping,1920,1349,2016/10/11 14:30
Shopping,1920,1290,2016/10/11 15:03
Shopping,1920,1226,2016/10/11 15:33
Shopping,1920,1149,2016/10/11 16:01
Shopping,1920,1006,2016/10/11 16:26
Shopping,1920,608,2016/10/12 8:04
Shopping,1920,734,2016/10/12 8:31
Shopping,1920,943,2016/10/12 9:03
Shopping,1920,1097,2016/10/12 9:26
Shopping,1920,1263,2016/10/12 10:01
Shopping,1920,1333,2016/10/12 10:31
Shopping,1920,1374,2016/10/12 11:04
Shopping,1920,1392,2016/10/12 11:31
Shopping,1920,1394,2016/10/12 12:04
Shopping,1920,1407,2016/10/12 12:31
Shopping,1920,1397,2016/10/12 13:04
Shopping,1920,1390,2016/10/12 13:34
Shopping,1920,1374,2016/10/12 14:03
Shopping,1920,1346,2016/10/12 14:34
Shopping,1920,1263,2016/10/12 15:01
Shopping,1920,1205,2016/10/12 15:30
Shopping,1920,1124,2016/10/12 15:57
Shopping,1920,972,2016/10/12 16:31
Shopping,1920,532,2016/10/13 7:57
Shopping,1920,727,2016/10/13 8:31
Shopping,1920,925,2016/10/13 9:04
Shopping,1920,1102,2016/10/13 9:31
Shopping,1920,1240,2016/10/13 9:57
Shopping,1920,1322,2016/10/13 10:31
Shopping,1920,1367,2016/10/13 11:04
Shopping,1920,1393,2016/10/13 11:31
Shopping,1920,1425,2016/10/13 11:57
Shopping,1920,1428,2016/10/13 12:31
Shopping,1920,1428,2016/10/13 13:04
Shopping,1920,1426,2016/10/13 13:31
Shopping,1920,1402,2016/10/13 13:57
Shopping,1920,1366,2016/10/13 14:31
Shopping,1920,1335,2016/10/13 15:04
Shopping,1920,1292,2016/10/13 15:31
Shopping,1920,1204,2016/10/13 16:04
Shopping,1920,1069,2016/10/13 16:31
Shopping,1920,556,2016/10/14 8:01
Shopping,1920,689,2016/10/14 8:27
Shopping,1920,858,2016/10/14 9:01
Shopping,1920,1010,2016/10/14 9:27
Shopping,1920,1142,2016/10/14 10:01
Shopping,1920,1192,2016/10/14 10:27
Shopping,1920,1220,2016/10/14 11:01
Shopping,1920,1239,2016/10/14 11:27
Shopping,1920,1240,2016/10/14 12:01
Shopping,1920,1226,2016/10/14 12:27
Shopping,1920,1225,2016/10/14 13:01
Shopping,1920,1205,2016/10/14 13:27
Shopping,1920,1191,2016/10/14 14:01
Shopping,1920,1182,2016/10/14 14:34
Shopping,1920,1134,2016/10/14 15:01
Shopping,1920,1048,2016/10/14 15:27
Shopping,1920,969,2016/10/14 16:01
Shopping,1920,832,2016/10/14 16:34
Shopping,1920,290,2016/10/15 8:01
Shopping,1920,342,2016/10/15 8:34
Shopping,1920,391,2016/10/15 9:01
Shopping,1920,437,2016/10/15 9:27
Shopping,1920,500,2016/10/15 10:01
Shopping,1920,552,2016/10/15 10:27
Shopping,1920,613,2016/10/15 11:01
Shopping,1920,629,2016/10/15 11:27
Shopping,1920,669,2016/10/15 12:01
Shopping,1920,708,2016/10/15 12:27
Shopping,1920,783,2016/10/15 13:01
Shopping,1920,848,2016/10/15 13:34
Shopping,1920,863,2016/10/15 14:01
Shopping,1920,880,2016/10/15 14:27
Shopping,1920,905,2016/10/15 15:01
Shopping,1920,881,2016/10/15 15:27
Shopping,1920,853,2016/10/15 16:01
Shopping,1920,789,2016/10/15 16:27
Shopping,1920,297,2016/10/16 8:04
Shopping,1920,324,2016/10/16 8:27
Shopping,1920,420,2016/10/16 9:01
Shopping,1920,520,2016/10/16 9:27
Shopping,1920,675,2016/10/16 10:04
Shopping,1920,743,2016/10/16 10:34
Shopping,1920,796,2016/10/16 11:01
Shopping,1920,860,2016/10/16 11:27
Shopping,1920,943,2016/10/16 12:01
Shopping,1920,968,2016/10/16 12:27
Shopping,1920,965,2016/10/16 13:01
Shopping,1920,930,2016/10/16 13:27
Shopping,1920,871,2016/10/16 14:01
Shopping,1920,794,2016/10/16 14:34
Shopping,1920,714,2016/10/16 15:01
Shopping,1920,629,2016/10/16 15:31
Shopping,1920,567,2016/10/16 15:57
Shopping,1920,470,2016/10/16 16:31
Shopping,1920,535,2016/10/17 8:01
Shopping,1920,639,2016/10/17 8:27
Shopping,1920,802,2016/10/17 9:01
Shopping,1920,940,2016/10/17 9:27
Shopping,1920,1113,2016/10/17 10:04
Shopping,1920,1182,2016/10/17 10:31
Shopping,1920,1248,2016/10/17 11:04
Shopping,1920,1267,2016/10/17 11:31
Shopping,1920,1285,2016/10/17 12:04
Shopping,1920,1288,2016/10/17 12:31
Shopping,1920,1292,2016/10/17 12:57
Shopping,1920,1278,2016/10/17 13:31
Shopping,1920,1277,2016/10/17 14:04
Shopping,1920,1274,2016/10/17 14:31
Shopping,1920,1242,2016/10/17 14:57
Shopping,1920,1174,2016/10/17 15:31
Shopping,1920,1097,2016/10/17 15:57
Shopping,1920,943,2016/10/17 16:28
Shopping,1920,604,2016/10/18 8:01
Shopping,1920,733,2016/10/18 8:28
Shopping,1920,925,2016/10/18 9:01
Shopping,1920,1092,2016/10/18 9:28
Shopping,1920,1244,2016/10/18 10:01
Shopping,1920,1318,2016/10/18 10:28
Shopping,1920,1370,2016/10/18 11:01
Shopping,1920,1361,2016/10/18 11:27
Shopping,1920,1397,2016/10/18 12:01
Shopping,1920,1409,2016/10/18 12:27
Shopping,1920,1409,2016/10/18 13:01
Shopping,1920,1405,2016/10/18 13:28
Shopping,1920,1387,2016/10/18 13:54
Shopping,1920,1372,2016/10/18 14:27
Shopping,1920,1329,2016/10/18 15:01
Shopping,1920,1260,2016/10/18 15:27
Shopping,1920,1219,2016/10/18 15:55
Shopping,1920,1164,2016/10/18 16:27
Shopping,1920,632,2016/10/19 8:05
Shopping,1920,730,2016/10/19 8:25
Shopping,1920,956,2016/10/19 8:58
Shopping,1920,1161,2016/10/19 9:32
Shopping,1920,1262,2016/10/19 9:58
Shopping,1920,1360,2016/10/19 10:25
Shopping,1920,1408,2016/10/19 10:59
Shopping,1920,1412,2016/10/19 11:25
Shopping,1920,1437,2016/10/19 11:59
Shopping,1920,1439,2016/10/19 12:25
Shopping,1920,1418,2016/10/19 12:58
Shopping,1920,1419,2016/10/19 13:25
Shopping,1920,1390,2016/10/19 13:58
Shopping,1920,1376,2016/10/19 14:32
Shopping,1920,1352,2016/10/19 14:58
Shopping,1920,1275,2016/10/19 15:32
Shopping,1920,1177,2016/10/19 15:59
Shopping,1920,1028,2016/10/19 16:25
Shopping,1920,270,2016/10/22 7:59
Shopping,1920,288,2016/10/22 8:26
Shopping,1920,341,2016/10/22 8:59
Shopping,1920,380,2016/10/22 9:26
Shopping,1920,461,2016/10/22 9:59
Shopping,1920,496,2016/10/22 10:26
Shopping,1920,563,2016/10/22 10:59
Shopping,1920,600,2016/10/22 11:32
Shopping,1920,642,2016/10/22 11:59
Shopping,1920,695,2016/10/22 12:32
Shopping,1920,746,2016/10/22 12:59
Shopping,1920,781,2016/10/22 13:32
Shopping,1920,779,2016/10/22 13:59
Shopping,1920,807,2016/10/22 14:39
Shopping,1920,795,2016/10/22 14:59
Shopping,1920,789,2016/10/22 15:26
Shopping,1920,744,2016/10/22 15:59
Shopping,1920,699,2016/10/22 16:26
Shopping,1920,297,2016/10/23 7:59
Shopping,1920,303,2016/10/23 8:26
Shopping,1920,311,2016/10/23 8:59
Shopping,1920,335,2016/10/23 9:26
Shopping,1920,359,2016/10/23 9:59
Shopping,1920,368,2016/10/23 10:26
Shopping,1920,378,2016/10/23 10:59
Shopping,1920,414,2016/10/23 11:26
Shopping,1920,468,2016/10/23 11:59
Shopping,1920,508,2016/10/23 12:26
Shopping,1920,525,2016/10/23 13:06
Shopping,1920,533,2016/10/23 13:26
Shopping,1920,540,2016/10/23 13:59
