name,capacity,occupied,time
Shopping,1920,1,2016/10/4 7:59
Shopping,1920,2,2016/10/4 8:25
Shopping,1920,3,2016/10/4 8:59
Shopping,1920,4,2016/10/4 9:32
Shopping,1920,5,2016/10/4 9:59
Shopping,1920,6,2016/10/4 10:26
Shopping,1920,7,2016/10/4 10:59
Shopping,1920,8,2016/10/4 11:25
Shopping,1920,9,2016/10/4 11:59
Shopping,1920,10,2016/10/4 12:29
Shopping,1920,11,2016/10/4 13:02
Shopping,1920,12,2016/10/4 13:29
Shopping,1920,13,2016/10/4 14:02
Shopping,1920,14,2016/10/4 14:29
Shopping,1920,15,2016/10/4 14:57
Shopping,1920,16,2016/10/4 15:30
Shopping,1920,17,2016/10/4 16:04
Shopping,1920,18,2016/10/4 16:31
Shopping,1920,19,2016/10/5 7:57
Shopping,1920,20,2016/10/5 8:30
Shopping,1920,21,2016/10/5 9:04
Shopping,1920,22,2016/10/5 9:30
Shopping,1920,23,2016/10/5 10:04
Shopping,1920,24,2016/10/5 10:30
Shopping,1920,25,2016/10/5 11:04
Shopping,1920,26,2016/10/5 11:30
Shopping,1920,27,2016/10/5 12:04
Shopping,1920,28,2016/10/5 12:30
Shopping,1920,29,2016/10/5 12:57
Shopping,1920,30,2016/10/5 13:30
Shopping,1920,31,2016/10/5 13:57
Shopping,1920,32,2016/10/5 14:30
Shopping,1920,33,2016/10/5 14:57
Shopping,1920,34,2016/10/5 15:30
Shopping,1920,35,2016/10/5 16:04
Shopping,1920,36,2016/10/5 16:30
Shopping,1920,37,2016/10/6 7:57
Shopping,1920,38,2016/10/6 8:30
Shopping,1920,39,2016/10/6 8:57
Shopping,1920,40,2016/10/6 9:30
Shopping,1920,41,2016/10/6 10:03
Shopping,1920,42,2016/10/6 10:30
Shopping,1920,43,2016/10/6 10:57
Shopping,1920,44,2016/10/6 11:30
Shopping,1920,45,2016/10/6 12:04
Shopping,1920,46,2016/10/6 12:30
Shopping,1920,47,2016/10/6 12:57
Shopping,1920,48,2016/10/6 13:30
Shopping,1920,49,2016/10/6 13:57
Shopping,1920,50,2016/10/6 14:30
Shopping,1920,51,2016/10/6 15:04
Shopping,1920,52,2016/10/6 15:31
Shopping,1920,53,2016/10/6 16:04
Shopping,1920,54,2016/10/6 16:30
Shopping,1920,55,2016/10/7 8:03
Shopping,1920,56,2016/10/7 8:30
Shopping,1920,57,2016/10/7 9:04
Shopping,1920,58,2016/10/7 9:30
Shopping,1920,59,2016/10/7 9:57
Shopping,1920,60,2016/10/7 10:30
Shopping,1920,61,2016/10/7 10:57
Shopping,1920,62,2016/10/7 11:30
Shopping,1920,63,2016/10/7 12:03
Shopping,1920,64,2016/10/7 12:30
Shopping,1920,65,2016/10/7 13:04
Shopping,1920,66,2016/10/7 13:30
Shopping,1920,67,2016/10/7 14:03
Shopping,1920,68,2016/10/7 14:30
Shopping,1920,69,2016/10/7 15:04
Shopping,1920,70,2016/10/7 15:30
Shopping,1920,71,2016/10/7 15:57
